shop_name,shop_adr
バンコクキッチン 赤坂店,						東京都港区赤坂４‐１５‐１赤坂ガーデンシティーＢ１Ｆ 
Sawaddee Chao,						東京都西東京市田無町２－９－１　大森ビル1F
ソウルフードバンコク,						東京都目黒区東山３－１５－２　第２ソナービル２Ｆ
ソウルフードバンコク　溜池山王店,						東京都港区赤坂２‐９‐４千代田ビルディングＢ１Ｆ
サバイディー　高円寺店,						東京都杉並区高円寺北３-１６-１
Com Pho with TERRACE　(コムフォーウィズテラス),						東京都品川区大崎２-1-1 ThinkPark 1F
コズミックダイニング・ガイラ,						東京都渋谷区初台１-36-1
Hanoi　Bar（ハノイ　バー）,						東京都大田区西蒲田７－４－３
南国酒場 アジアンダイニングBar,						東京都新宿区若松町29-7オーシャンプラザ若松町2F
アオザイ,						東京都港区赤坂５－４－１４　トレード赤坂１Ｆ
華福,						東京都板橋区大山西町５４－２
スクンビットソイトンロー　東京八重洲店,						東京都中央区八重洲１東京都中央区八重洲1-5-17　八重洲香川ビルB1
ガイトーン Tokyo 渋谷　カオマンガイ,						東京都渋谷区渋谷３-15-2 1F
スパイスＭＡＲＫＥＴ,						東京都渋谷区西原１-21-1
バンコク屋台　カオサン　ルミネ新宿店,						東京都新宿区西新宿１－１－５　新宿ルミネ1・B2階
ティーヌン　飯田橋ラムラ,						東京都新宿区神楽河岸１－１　飯田橋セントラルショッピングプラザ　ラムラ１Ｆ
ライティアン,						東京都江戸川区中葛西２-25-15
JASMINE THAI　（ジャスミンタイ）　八重洲店,						東京都中央区八重洲１‐４‐１６ 東京建物八重洲ビル B1階　八重仲ダイニング  
バー・エルアミーゴ,						東京都港区新橋３-11-5　新橋共同ビル1Ｆ
カフェ　ぐるぐる,						東京都練馬区貫井３‐１５‐３
SIAM CELADON 池袋東武店,						東京都豊島区西池袋１-1-25　東武百貨店池袋店　スパイス11F
アカーム　渋谷,						東京都渋谷区松濤１‐２６‐２２ 松濤１丁目ビルＢ１　１Ｆ
hot　pepper　ホットペッパー,						東京都港区赤坂９-2-6
モンスーンカフェ　Monsoon Cafe　渋谷店,						東京都渋谷区神南１-6-8 神南カンパリビル4F
マイペンライ,						東京都町田市原町田６-１７-１藤ビル2F
東京ガパオ　ダイバーシティ東京プラザ店,						東京都江東区青海１-1-10  ダイバ-シティ東京プラザ6F
タイ国屋台食堂　西新宿ソイナナ,						東京都新宿区西新宿７－１９－１８　セードル新宿ハイツ　１０４B
アジアンキッチン　ワイガヤ,						東京都渋谷区笹塚１-57-10 笹塚駅前ビル２F
チョップスティックス高円寺店,						東京都杉並区高円寺北３－２２－８
バンコクキッチン丸の内店,						東京都千代田区丸の内３－３－1新東京ビルＢ１
タイ屋ソンタナ,						東京都世田谷区経堂１-26-15
居空間,						東京都練馬区豊玉北５‐３２‐２
SK THAILAND,						東京都墨田区東向島２－３９－８
狛江 チャオ サイゴン,						東京都狛江市和泉本町１‐３４‐１４
タイ風居酒屋　アキラ,						東京都足立区保塚町９－１０
タヒチ　タイレストラン,						東京都港区南青山４-27-17
ラークパクチー,						東京都世田谷区代沢５-６-１４前田 ビル２Ｆ
マンゴツリーカフェ＋バー高輪,						東京都港区高輪４－10－18　京急ショッピングプラザ　ウィング高輪ＷＥＳT１Ｆ
afuune,						東京都中央区銀座４－１０－３　セントラルビルB1
リトルバンコック,						東京都渋谷区恵比寿南１-8-8
NICO’Ｓ,						東京都中央区日本橋小伝馬町13ー2井川ビルB1
サワディー　Sawadee,						東京都千代田区麹町１-6-6　プルミエ麹町ビル
梅蘭　ゲートシティ大崎店,						東京都品川区大崎１－１１－１ゲートシティ大崎２Ｆ
サイアムオーキッド　八重洲地下街店,						東京都中央区八重洲２－１　八重洲地下街南1号
ジャスミンタイ　四谷店,						東京都新宿区四谷１－１７　後藤ビル１Ｆ
ティーヌン　銀座店,						東京都中央区銀座５－１　ＧＩＮＺＡ５　Ｂ１
Bangkok orchid,						東京都葛飾区新小岩１-51-1 ますやビル2F
Asian Restaurant Basudev　アジアンレストラン　バスデブ,						東京都墨田区緑１-18-3
エーケイブ　アジアン食堂　六本木ヒルズ,						東京都港区六本木６－２－３１　六本木ヒルズノースタワービルＢ１
Ｐｅｎｓｒｉ'ｓ　Ｋｉｔｃｈｅｎ　アトレ四谷店,						東京都新宿区四谷１－５－２５　アトレ四谷１Ｆ
Cabe　チャベ　武蔵小山店,						東京都品川区小山４-3-13-2F
サイアムタラート,						東京都世田谷区三軒茶屋２-14-19 
Soaltee Dining（ソルティーダイニング）,						東京都中央区東日本橋２-16-10
mekong メコン　中神,						東京都昭島市宮沢町５２１－３１
W-Thai,						東京都墨田区京島１-2-2-115
風土木,						東京都港区芝大門２‐３‐９　柘上ビル１Ｆ
イムアロイ,						東京都台東区上野２－３－９第１カンカンビル２階
タイごはん　サイアムBBQ,						東京都千代田区大手町１-9-7 大手町フィナンシャルシティサウスタワー1F
スアンサワン　赤坂店,						東京都港区赤坂３－１５－１４　ソフィアフォーラム２Ｆ
となりのチャッポラ,						東京都日野市高幡３‐７　ユニバーサルビル１F
コカレストラン有楽町/マンゴツリーカフェ有楽町,						東京都千代田区有楽町１－１１－１　ビッグカメラ有楽町６Ｆ
アジアンダイニング　ムンランギットカフェ,						東京都世田谷区赤堤４-36-1 細谷ビル1階
AsianRestaurant&Bar TOMATO（アジアンレストラン＆バートマト）南大泉店　2号店,						東京都練馬区南大泉４-５２-１９　和田ビル1階
ムアン・タイ・なべ,						東京都千代田区神田神保町２－１３　西塚ビル１・２Ｆ
マンゴツリーカフェ　恵比寿店,						東京都渋谷区恵比寿南１－５－５　アトレ恵比寿６Ｆ
タイ食堂楽&カラオケ サイナム・タイ,						東京都豊島区巣鴨４-24-4ハイツ野中105
サイアム食堂,						東京都文京区湯島３-34-9　川部ビル
麻布十番　サムロータイレストラン　本店,						東京都港区麻布十番２-12-9
ゲーンキョワーン,						東京都新宿区新宿１-31-3
ＪＡＳＭＩＮＥ　ＴＨＡＩ　六本木店,						東京都港区六本木５－１８－２１　ファイブプラザ２Ｆ
HATY HATY　（ハティハティ）　日本橋店,						東京都中央区日本橋本町１-8-8金山ビル　1Ｆ
cafe POKAPOKA,						東京都墨田区八広５－３２－９
雅,						東京都足立区千住１－２６－２　早川ビル１Ｆ
コムフォー　銀座店,						東京都中央区銀座３-2-1　プランタン銀座本館B2階
